NAME	EXM	Prim	CTB
A4GALT	39.9401320619645	102.271086920989	1485.88353143784
ABCA2	457.185737187042	65.2388581996846	1678.89105903321
ABHD5	76.5859418636417	639.939766287681	163.755127994703
ABTB2	78.3346056379117	4332.97414978828	211.180383822041
AC091057.6	69.370829171456	14.1933692066074	560.57826154744
ACHE	297.606898244638	90.6996874936841	1000.37646062111
ACKR2	493.027366517038	508.390978277183	4044.08252804271
ACOXL	17.3542176619065	31.8196593821687	258.893572400137
ACTC1	13612.6057165449	188.814049723221	829.810007237956
ADAM28	104.519403953921	14.5769226908134	489.871591998746
ADAMTS16	146.886765222436	34.0616895231987	617.78559951873
ADAMTS18	584.380611424845	6.88424713958577	32.9368618188045
ADAMTS2	1314.80571539484	48.8835174397342	58.566361230815
ADCY5	12.8160353419442	353.862378237851	17.7202334692775
ADGRB2	887.956776191102	7.44625517590871	73.86626374234
ADM2	35.4165058672746	450.400128046204	72.0860638655118
AFAP1L2	900.575954634739	15.4803364365077	205.632067607836
ALOX5	43.6765524116952	23.3778908118895	426.237158227849
AMER2	19.4965921464248	25.4739480369148	226.086636631548
ANGPT4	8.78786918495018	666.765037026458	127.269641323084
ANGPTL4	650.36135764729	281.9895244607	3462.12326187114
ANLN	578.534488670348	99.8559243727224	1752.74330161869
ANXA1	3227.70846011682	27068.8249735267	3459.9733262247
APELA	12.7760862746542	323.582594145838	154.018889227272
APOBEC3C	851.966186020482	33.7447676028881	352.926815780635
APOBEC3F	456.508483621465	11.4063385010364	235.569885374785
APOL6	15.487946249072	8.53157738301005	237.050255226928
AQP1	4020.18493088882	18.4754707178926	83.2336518379812
ARHGAP29	3768.87090938812	117.289232355758	3513.05100012309
ARHGAP31	366.983273344204	4.31752740751242	35.0371400369314
ART5	37.1763092356558	24.2816052424029	225.674706373741
ASAP3	123.145174493343	64.2567708505093	596.629532496971
ASCL2	29.9135472062585	24.3581517384009	1638.53032377505
ASPM	150.482737561858	17.1582741507727	706.176828840932
ATF7IP2	204.301655046425	30.3431850467582	1148.70004169625
ATG9B	11.5558721079413	419.303123991204	42.1937933634092
ATP10D	150.725318479919	1766.45923026177	753.171351170484
ATP2B1	2058.56810431552	140.36706296765	376.097567183175
ATXN1	942.776294385729	45.1172898190876	238.090285938812
AURKB	489.137439749103	81.8593421919774	1996.21682021717
AVPI1	142.568376782281	1896.7517559762	657.786828883149
AXL	1755.75225415121	27.7312464329081	456.576587811447
B4GALNT3	25.7381863248866	283.40428763338	149.959251861166
BACE1	944.862413565992	15.8034132608586	163.566886167895
BAMBI	5564.16777415618	109.752557882081	501.3755106259
BCAM	1949.18398882526	710.3540957084	8549.87518560372
BCL6	460.019543472608	269.857875161613	1601.54003843031
