genesymbols	EXM	Prim
ABCD1	96.0578379167091	456.986609386448
ABHD17C	272.898752061935	1364.41840165443
ABHD5	76.1995209462835	643.142193604783
ABTB2	79.2862282614477	3993.92325033394
ACKR3	4084.47315295585	1000.67782077604
ACTC1	13473.7770605385	200.728803905434
ADAM15	119.232807755117	899.995577294526
ADAM8	31.3638877038557	659.45791357339
ADAMTS1	362.819447734521	2821.70286593635
ADAMTS18	558.527532548662	7.05518539574063
ADAMTS2	1308.73873325896	53.4117814130664
ADGRB2	880.998793776716	8.17952240202832
ADM2	35.5215602624044	467.838504330661
AFAP1L2	883.230683935127	16.9220865092716
AFDN	6527.73850600651	1270.12938255033
AFF1	1075.85276136904	2865.64241128702
AKAP17A	1540.55594135083	3075.76293294826
ALAS1	532.579002226281	3249.30385600767
ANGPT4	8.18896729399255	650.332595354658
ANK3	803.055721495321	69.1868531079804
ANKS1A	5293.56444822565	319.803948327354
ANXA1	3207.89229938185	28317.1496172388
ANXA3	2048.32685983916	110.678087408629
ANXA4	750.779302236929	70.7783337912508
ANXA6	2409.64910819281	351.580468185067
APOBEC3C	856.616612226312	35.2348346447051
ARHGAP18	127.186423924412	1358.17902458057
ARHGAP29	3736.71440731422	117.827061200149
ARID5B	202.827629983023	1262.31161477125
ARMCX2	1031.90392975211	85.9581266897585
ATF3	464.082827114583	3030.87330220046
ATG9B	10.1889180540994	374.496061373169
ATP10D	144.729710643896	1703.9779876276
ATP1A4	56.6143920737438	346.641809091589
ATP2B1	2023.11096066241	137.352461815327
ATP2B4	3640.57855389077	6886.74184633436
ATP2C2	67.7751585558028	489.923417317712
ATP6V1C2	176.044475288841	1409.67771854604
ATXN1	934.399001420651	46.996139960897
AVPI1	150.232936104389	1898.96449002043
AXL	1738.33706754245	30.135560967102
B4GALNT3	21.9853911325004	272.141390997134
B4GALNT4	716.210687911345	44.4022746909783
BACE1	946.584939374959	15.6083532520854
BAIAP2	341.640825551386	2253.62450497748
BAMBI	5606.63434164332	116.555092676397
BCL2L1	948.735713016339	2082.92741262098
BCORL1	285.854328569462	1233.16442253592
BGN	92.5091700672549	3452.59901374915
BMF	1129.35932649994	63.8787056095606
BRSK1	586.067011321433	22.4959744753941
BTBD3	1608.80685310935	83.6375177480248
BTG1	1358.58687711915	5331.01775689307
C10orf95	15.868232450245	737.580045371214
C1orf21	2833.5764404102	788.744511385899
