genesymbols	EXM	Prim	CTB
A4GALT	39.2876148667945	101.853695874365	1797.52904826952
ABHD17C	270.004202516702	1381.20780565598	624.914283185582
ABHD5	76.6768062556444	639.181402800464	200.92391525587
ABTB2	78.6634952155973	4074.05450538101	239.00750638286
AC091057.6	69.1381527862873	11.8535787791471	552.097293695335
ACHE	300.978803016612	93.3454102579118	1173.25213133886
ACKR2	505.314096695329	492.079010355717	4016.013629035
ACKR3	4189.64266550909	1015.28232397895	738.152639377757
ACOXL	17.2630573066192	25.4380593856298	349.63336262262
ACTC1	13767.080699825	187.510393614833	807.750895877288
ADAM28	106.088534847365	9.47874223231555	488.644016505244
ADAM8	32.2526454753	652.052041855824	600.992949837618
ADAMTS16	149.683950448815	37.0780895075982	577.757965415269
ADAMTS18	566.183154721766	6.96271884248519	31.2192417794138
ADAMTS2	1330.34745357363	51.2827028304517	50.2726318949363
ADCY5	12.6941297015504	323.390357783065	18.7512707888946
ADGRB2	888.573295996985	7.86421420547167	72.4637816067216
ADM2	35.7697788109657	450.186577410562	72.1216013342006
AFAP1L2	893.487288564775	16.128570089201	239.814748766909
AFDN	6660.27409247168	1270.91339665974	4131.86442819025
AFF1	1131.45030502096	2881.6043914914	1478.96093611546
AKAP17A	1578.74058443905	3085.38498730287	4214.27326255487
AKNA	1002.63411891746	215.047630163138	798.993140834811
ALAS1	524.347186129708	3322.85872255621	1869.92201644885
ALOX5	44.0379069198808	19.4714682903115	405.504148790349
AMER2	19.5305574367346	25.9036419438814	231.324378504045
ANGPT4	8.6386181408556	681.637890283711	110.69363854347
ANGPTL4	664.219370675745	281.650319261725	3133.23118969961
ANKS1A	5436.87837205617	320.362015824129	2810.73004199261
ANLN	562.799522210606	88.6185097437313	1770.00674865533
ANXA1	3205.54966996105	28152.6233056929	3664.31644023389
ANXA3	2065.58609795938	110.518106972292	1702.26577981698
ANXA6	2442.63354004595	357.695371185788	1591.98798324827
APELA	12.1485685484461	330.409843441862	173.916640209258
APOBEC3C	870.399831945262	35.8551096552972	367.604988308025
APOBEC3F	468.994687996688	10.419067898352	234.342786601193
APOL6	14.6653291951781	8.87141768166979	273.319551133565
APPBP2	306.661407754889	810.004122730981	605.610592678681
AQP1	4128.19864900595	17.0877287532162	80.3580730067097
ARHGAP18	125.399792071596	1344.43402616019	1230.68275795287
ARHGAP29	3813.00696035373	120.027294043335	3505.41522686306
ARHGAP31	365.489260022164	4.67534180278953	43.0806021622678
ASAP3	124.50914729474	63.0699954726783	710.680461021485
ASCL2	31.0760037523131	26.6258170863329	1601.73360241608
ASPM	150.142318593997	14.7734088781268	662.423193495745
ATF3	466.532942559774	3084.21146648816	1555.69684369354
ATF7IP2	204.388569065693	32.0871804811559	1166.72839986841
ATG9B	11.5773579228701	368.797201792474	33.710449510042
ATP10D	150.227982832483	1691.5124411011	837.295111150827
ATP2B1	2070.90421219617	133.814128964741	444.313389361065
ATP2B4	3682.44499117684	6928.40445456872	4276.84547149714
ATP6V0A1	342.073389510956	947.600969610701	980.774218896759
